==22277== NVPROF is profiling process 22277, command: ./kmeans -i ../data/data_3d_ind.txt
==22277== Warning: Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==22277== Profiling application: ./kmeans -i ../data/data_3d_ind.txt
Device: Tesla K40c
CPU Elapsed Time : 0.915000 ms
GPU Elapsed Time : 8568.311523 ms
==22277== Profiling result:
==22277== Metric result:
"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"Tesla K40c (0)","kernel_dist(float const *, float const *, int*, int, int, int, float*, float*, float*)",9,"issue_slot_utilization","Issue Slot Utilization",8.170156%,8.666855%,8.392294%
"Tesla K40c (0)","kernel_dist(float const *, float const *, int*, int, int, int, float*, float*, float*)",9,"local_load_transactions_per_request","Local Memory Load Transactions Per Request",0.000000,0.000000,0.000000
"Tesla K40c (0)","kernel_dist(float const *, float const *, int*, int, int, int, float*, float*, float*)",9,"local_store_transactions_per_request","Local Memory Store Transactions Per Request",0.000000,0.000000,0.000000
"Tesla K40c (0)","kernel_dist(float const *, float const *, int*, int, int, int, float*, float*, float*)",9,"shared_load_transactions_per_request","Shared Memory Load Transactions Per Request",148.187500,174.437500,162.763889
"Tesla K40c (0)","kernel_dist(float const *, float const *, int*, int, int, int, float*, float*, float*)",9,"shared_store_transactions_per_request","Shared Memory Store Transactions Per Request",148.187500,174.437500,162.763889
"Tesla K40c (0)","kernel_dist(float const *, float const *, int*, int, int, int, float*, float*, float*)",9,"gld_transactions_per_request","Global Load Transactions Per Request",1.000000,1.000000,1.000000
"Tesla K40c (0)","kernel_dist(float const *, float const *, int*, int, int, int, float*, float*, float*)",9,"gst_transactions_per_request","Global Store Transactions Per Request",0.000000,1.000000,0.888889
"Tesla K40c (0)","kernel_dist(float const *, float const *, int*, int, int, int, float*, float*, float*)",9,"local_load_transactions","Local Load Transactions",0,0,0
"Tesla K40c (0)","kernel_dist(float const *, float const *, int*, int, int, int, float*, float*, float*)",9,"local_store_transactions","Local Store Transactions",0,0,0
"Tesla K40c (0)","kernel_dist(float const *, float const *, int*, int, int, int, float*, float*, float*)",9,"shared_load_transactions","Shared Load Transactions",2371,3071,2609
"Tesla K40c (0)","kernel_dist(float const *, float const *, int*, int, int, int, float*, float*, float*)",9,"shared_store_transactions","Shared Store Transactions",2371,2786,2603
"Tesla K40c (0)","kernel_dist(float const *, float const *, int*, int, int, int, float*, float*, float*)",9,"gld_transactions","Global Load Transactions",32,32,32
"Tesla K40c (0)","kernel_dist(float const *, float const *, int*, int, int, int, float*, float*, float*)",9,"gst_transactions","Global Store Transactions",0,32,17
"Tesla K40c (0)","kernel_dist(float const *, float const *, int*, int, int, int, float*, float*, float*)",9,"sysmem_read_transactions","System Memory Read Transactions",0,0,0
"Tesla K40c (0)","kernel_dist(float const *, float const *, int*, int, int, int, float*, float*, float*)",9,"sysmem_write_transactions","System Memory Write Transactions",0,9,4
"Tesla K40c (0)","kernel_dist(float const *, float const *, int*, int, int, int, float*, float*, float*)",9,"tex_cache_transactions","Texture Cache Transactions",8052,8448,8272
"Tesla K40c (0)","kernel_dist(float const *, float const *, int*, int, int, int, float*, float*, float*)",9,"dram_read_transactions","Device Memory Read Transactions",0,0,0
"Tesla K40c (0)","kernel_dist(float const *, float const *, int*, int, int, int, float*, float*, float*)",9,"dram_write_transactions","Device Memory Write Transactions",19,167,65
"Tesla K40c (0)","kernel_dist(float const *, float const *, int*, int, int, int, float*, float*, float*)",9,"l2_read_transactions","L2 Read Transactions",678,1732,910
"Tesla K40c (0)","kernel_dist(float const *, float const *, int*, int, int, int, float*, float*, float*)",9,"l2_write_transactions","L2 Write Transactions",45,1172,231
"Tesla K40c (0)","kernel_dist(float const *, float const *, int*, int, int, int, float*, float*, float*)",9,"local_load_throughput","Local Memory Load Throughput",0.000000B/s,0.000000B/s,0.000000B/s
"Tesla K40c (0)","kernel_dist(float const *, float const *, int*, int, int, int, float*, float*, float*)",9,"local_store_throughput","Local Memory Store Throughput",0.000000B/s,25.177025MB/s,10.169570MB/s
"Tesla K40c (0)","kernel_dist(float const *, float const *, int*, int, int, int, float*, float*, float*)",9,"shared_load_throughput","Shared Memory Load Throughput",21.774143GB/s,24.983362GB/s,23.581091GB/s
"Tesla K40c (0)","kernel_dist(float const *, float const *, int*, int, int, int, float*, float*, float*)",9,"shared_store_throughput","Shared Memory Store Throughput",21.774143GB/s,25.358791GB/s,23.559216GB/s
"Tesla K40c (0)","kernel_dist(float const *, float const *, int*, int, int, int, float*, float*, float*)",9,"l2_read_throughput","L2 Throughput (Reads)",769.661924MB/s,1.742071GB/s,1.018962GB/s
"Tesla K40c (0)","kernel_dist(float const *, float const *, int*, int, int, int, float*, float*, float*)",9,"l2_write_throughput","L2 Throughput (Writes)",51.200000MB/s,1.178815GB/s,248.071374MB/s
"Tesla K40c (0)","kernel_dist(float const *, float const *, int*, int, int, int, float*, float*, float*)",9,"sysmem_read_throughput","System Memory Read Throughput",0.000000B/s,0.000000B/s,0.000000B/s
"Tesla K40c (0)","kernel_dist(float const *, float const *, int*, int, int, int, float*, float*, float*)",9,"sysmem_write_throughput","System Memory Write Throughput",0.000000B/s,10.240000MB/s,4.851767MB/s
"Tesla K40c (0)","kernel_dist(float const *, float const *, int*, int, int, int, float*, float*, float*)",9,"warp_nonpred_execution_efficiency","Warp Non-Predicated Execution Efficiency",52.364901%,54.650292%,53.932798%
"Tesla K40c (0)","kernel_dist(float const *, float const *, int*, int, int, int, float*, float*, float*)",9,"cf_issued","Issued Control-Flow Instructions",7962,9392,8334
"Tesla K40c (0)","kernel_dist(float const *, float const *, int*, int, int, int, float*, float*, float*)",9,"cf_executed","Executed Control-Flow Instructions",7701,8702,8057
"Tesla K40c (0)","kernel_dist(float const *, float const *, int*, int, int, int, float*, float*, float*)",9,"ldst_issued","Issued Load/Store Instructions",5879,8858,6587
"Tesla K40c (0)","kernel_dist(float const *, float const *, int*, int, int, int, float*, float*, float*)",9,"ldst_executed","Executed Load/Store Instructions",5832,7550,6360
"Tesla K40c (0)","kernel_dist(float const *, float const *, int*, int, int, int, float*, float*, float*)",9,"flop_count_sp","Floating Point Operations(Single Precision)",49000,49000,49000
"Tesla K40c (0)","kernel_dist(float const *, float const *, int*, int, int, int, float*, float*, float*)",9,"flop_count_sp_add","Floating Point Operations(Single Precision Add)",19000,19000,19000
"Tesla K40c (0)","kernel_dist(float const *, float const *, int*, int, int, int, float*, float*, float*)",9,"flop_count_sp_mul","Floating Point Operation(Single Precision Mul)",0,0,0
