==21767== NVPROF is profiling process 21767, command: ./kmeans -i ../data/data_3d_ind.txt
==21767== Warning: Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==21767== Profiling application: ./kmeans -i ../data/data_3d_ind.txt
Device: Tesla K40c
CPU Elapsed Time : 0.919000 ms
GPU Elapsed Time : 3816.992920 ms
==21767== Profiling result:
==21767== Metric result:
"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"Tesla K40c (0)","kernel_parent_kmeans(float*, float*, int*, float*, int, int, int, float, int, float*, float*)",1,"inst_per_warp","Instructions per warp",701.311828,701.311828,701.311828
"Tesla K40c (0)","kernel_parent_kmeans(float*, float*, int*, float*, int, int, int, float, int, float*, float*)",1,"issue_slot_utilization","Issue Slot Utilization",4.362613%,4.362613%,4.362613%
"Tesla K40c (0)","kernel_parent_kmeans(float*, float*, int*, float*, int, int, int, float, int, float*, float*)",1,"local_load_transactions_per_request","Local Memory Load Transactions Per Request",1.000000,1.000000,1.000000
"Tesla K40c (0)","kernel_parent_kmeans(float*, float*, int*, float*, int, int, int, float, int, float*, float*)",1,"local_store_transactions_per_request","Local Memory Store Transactions Per Request",1.002415,1.002415,1.002415
"Tesla K40c (0)","kernel_parent_kmeans(float*, float*, int*, float*, int, int, int, float, int, float*, float*)",1,"shared_load_transactions_per_request","Shared Memory Load Transactions Per Request",181.906250,181.906250,181.906250
"Tesla K40c (0)","kernel_parent_kmeans(float*, float*, int*, float*, int, int, int, float, int, float*, float*)",1,"shared_store_transactions_per_request","Shared Memory Store Transactions Per Request",181.906250,181.906250,181.906250
"Tesla K40c (0)","kernel_parent_kmeans(float*, float*, int*, float*, int, int, int, float, int, float*, float*)",1,"gld_transactions_per_request","Global Load Transactions Per Request",0.949495,0.949495,0.949495
"Tesla K40c (0)","kernel_parent_kmeans(float*, float*, int*, float*, int, int, int, float, int, float*, float*)",1,"gst_transactions_per_request","Global Store Transactions Per Request",1.460526,1.460526,1.460526
"Tesla K40c (0)","kernel_parent_kmeans(float*, float*, int*, float*, int, int, int, float, int, float*, float*)",1,"local_load_transactions","Local Load Transactions",347,347,347
"Tesla K40c (0)","kernel_parent_kmeans(float*, float*, int*, float*, int, int, int, float, int, float*, float*)",1,"local_store_transactions","Local Store Transactions",403,403,403
"Tesla K40c (0)","kernel_parent_kmeans(float*, float*, int*, float*, int, int, int, float, int, float*, float*)",1,"shared_load_transactions","Shared Load Transactions",5508,5508,5508
"Tesla K40c (0)","kernel_parent_kmeans(float*, float*, int*, float*, int, int, int, float, int, float*, float*)",1,"shared_store_transactions","Shared Store Transactions",5647,5647,5647
"Tesla K40c (0)","kernel_parent_kmeans(float*, float*, int*, float*, int, int, int, float, int, float*, float*)",1,"gld_transactions","Global Load Transactions",282,282,282
"Tesla K40c (0)","kernel_parent_kmeans(float*, float*, int*, float*, int, int, int, float, int, float*, float*)",1,"gst_transactions","Global Store Transactions",555,555,555
"Tesla K40c (0)","kernel_parent_kmeans(float*, float*, int*, float*, int, int, int, float, int, float*, float*)",1,"sysmem_read_transactions","System Memory Read Transactions",0,0,0
"Tesla K40c (0)","kernel_parent_kmeans(float*, float*, int*, float*, int, int, int, float, int, float*, float*)",1,"sysmem_write_transactions","System Memory Write Transactions",0,0,0
"Tesla K40c (0)","kernel_parent_kmeans(float*, float*, int*, float*, int, int, int, float, int, float*, float*)",1,"tex_cache_transactions","Texture Cache Transactions",16998,16998,16998
"Tesla K40c (0)","kernel_parent_kmeans(float*, float*, int*, float*, int, int, int, float, int, float*, float*)",1,"dram_read_transactions","Device Memory Read Transactions",85,85,85
"Tesla K40c (0)","kernel_parent_kmeans(float*, float*, int*, float*, int, int, int, float, int, float*, float*)",1,"dram_write_transactions","Device Memory Write Transactions",906,906,906
"Tesla K40c (0)","kernel_parent_kmeans(float*, float*, int*, float*, int, int, int, float, int, float*, float*)",1,"l2_read_transactions","L2 Read Transactions",5746,5746,5746
"Tesla K40c (0)","kernel_parent_kmeans(float*, float*, int*, float*, int, int, int, float, int, float*, float*)",1,"l2_write_transactions","L2 Write Transactions",2293,2293,2293
"Tesla K40c (0)","kernel_parent_kmeans(float*, float*, int*, float*, int, int, int, float, int, float*, float*)",1,"local_load_throughput","Local Memory Load Throughput",420.385299MB/s,420.385299MB/s,420.385299MB/s
"Tesla K40c (0)","kernel_parent_kmeans(float*, float*, int*, float*, int, int, int, float, int, float*, float*)",1,"local_store_throughput","Local Memory Store Throughput",254.501553MB/s,254.501553MB/s,254.501553MB/s
"Tesla K40c (0)","kernel_parent_kmeans(float*, float*, int*, float*, int, int, int, float, int, float*, float*)",1,"shared_load_throughput","Shared Memory Load Throughput",8.067882GB/s,8.067882GB/s,8.067882GB/s
"Tesla K40c (0)","kernel_parent_kmeans(float*, float*, int*, float*, int, int, int, float, int, float*, float*)",1,"shared_store_throughput","Shared Memory Store Throughput",8.271484GB/s,8.271484GB/s,8.271484GB/s
"Tesla K40c (0)","kernel_parent_kmeans(float*, float*, int*, float*, int, int, int, float, int, float*, float*)",1,"l2_read_throughput","L2 Throughput (Reads)",1.052062GB/s,1.052062GB/s,1.052062GB/s
